question,option1,option2,option3,option4,correct
Qual é a língua oficial do Brasil?,Inglês,Português,Espanhol,Francês,1
Qual é o maior planeta do sistema solar?,Saturno,Netuno,Terra,Júpiter,3
Qual a capital de Brasil?,Madrid,Paris,Lisboa,Berlim,2
Qual é a língua oficial do Brasil?,Inglês,Francês,Espanhol,Português,3
Quem escreveu o livro 'Dom Quixote'?,J.R.R. Tolkien,George Orwell,J.K. Rowling,Jane Austen,2
Quem escreveu o livro 'Dom Quixote'?,George Orwell,Jane Austen,J.R.R. Tolkien,J.K. Rowling,3
Qual é a língua oficial do Brasil?,Português,Espanhol,Francês,Inglês,0
Qual o metal principal nas moedas de um euro?,Cobre,Níquel,Prata,Ouro,1
Qual é a língua oficial do Brasil?,Francês,Português,Espanhol,Inglês,1
Qual o metal principal nas moedas de um euro?,Ouro,Prata,Níquel,Cobre,2
Qual é a língua oficial do Brasil?,Inglês,Português,Espanhol,Francês,1
Qual o metal principal nas moedas de um euro?,Ouro,Níquel,Prata,Cobre,1
Quem escreveu o livro 'Harry Potter'?,Jane Austen,George Orwell,J.R.R. Tolkien,J.K. Rowling,3
Qual é a língua oficial do Brasil?,Francês,Espanhol,Inglês,Português,3
Qual o metal principal nas moedas de um euro?,Prata,Ouro,Cobre,Níquel,3
Qual a capital de Egito?,Paris,Madrid,Lisboa,Berlim,2
Quem escreveu o livro 'O Senhor dos Anéis'?,Jane Austen,J.K. Rowling,George Orwell,J.R.R. Tolkien,1
Qual a capital de China?,Lisboa,Paris,Madrid,Berlim,0
Qual é o maior planeta do sistema solar?,Saturno,Netuno,Júpiter,Terra,2
Qual a capital de Brasil?,Lisboa,Paris,Madrid,Berlim,0
Qual o metal principal nas moedas de um euro?,Cobre,Níquel,Ouro,Prata,1
Qual a capital de França?,Madrid,Berlim,Lisboa,Paris,2
Qual é a língua oficial do Brasil?,Espanhol,Português,Inglês,Francês,1
Quem escreveu o livro 'Orgulho e Preconceito'?,J.R.R. Tolkien,Jane Austen,George Orwell,J.K. Rowling,3
Qual é a língua oficial do Brasil?,Espanhol,Português,Francês,Inglês,1
Qual a capital de França?,Madrid,Lisboa,Paris,Berlim,1
Qual o metal principal nas moedas de um euro?,Prata,Cobre,Níquel,Ouro,2
Quem escreveu o livro 'Dom Quixote'?,Jane Austen,J.K. Rowling,J.R.R. Tolkien,George Orwell,1
Qual é a língua oficial do Brasil?,Português,Inglês,Espanhol,Francês,0
Qual o metal principal nas moedas de um euro?,Níquel,Cobre,Prata,Ouro,0
Qual a capital de Itália?,Madrid,Paris,Berlim,Lisboa,3
Qual é o maior planeta do sistema solar?,Júpiter,Saturno,Netuno,Terra,0
Quem escreveu o livro 'Dom Quixote'?,J.K. Rowling,George Orwell,Jane Austen,J.R.R. Tolkien,0
Qual o metal principal nas moedas de um euro?,Cobre,Ouro,Níquel,Prata,2
Quem escreveu o livro '1984'?,J.R.R. Tolkien,J.K. Rowling,George Orwell,Jane Austen,1
Qual é a língua oficial do Brasil?,Português,Espanhol,Inglês,Francês,0
Qual a capital de Espanha?,Lisboa,Paris,Berlim,Madrid,0
Quem escreveu o livro 'Orgulho e Preconceito'?,George Orwell,Jane Austen,J.R.R. Tolkien,J.K. Rowling,3
Qual é a língua oficial do Brasil?,Inglês,Português,Francês,Espanhol,1
Qual a capital de Brasil?,Paris,Madrid,Lisboa,Berlim,2
Qual é o maior planeta do sistema solar?,Júpiter,Netuno,Terra,Saturno,0
Qual é o maior planeta do sistema solar?,Saturno,Terra,Netuno,Júpiter,3
Qual a capital de França?,Madrid,Berlim,Paris,Lisboa,3
Qual é o maior planeta do sistema solar?,Saturno,Júpiter,Netuno,Terra,1
Qual é a língua oficial do Brasil?,Francês,Português,Espanhol,Inglês,1
Qual é o maior planeta do sistema solar?,Saturno,Netuno,Júpiter,Terra,2
Qual é o maior planeta do sistema solar?,Terra,Netuno,Júpiter,Saturno,2
Qual é a língua oficial do Brasil?,Português,Espanhol,Francês,Inglês,0
Qual o metal principal nas moedas de um euro?,Cobre,Ouro,Prata,Níquel,3
Qual é o maior planeta do sistema solar?,Saturno,Terra,Netuno,Júpiter,3
Qual é o maior planeta do sistema solar?,Saturno,Júpiter,Terra,Netuno,1
Qual a capital de França?,Madrid,Paris,Lisboa,Berlim,2
Qual a capital de Alemanha?,Berlim,Madrid,Lisboa,Paris,2
Qual é a língua oficial do Brasil?,Inglês,Português,Francês,Espanhol,1
Qual é a língua oficial do Brasil?,Inglês,Francês,Português,Espanhol,2
Qual é o maior planeta do sistema solar?,Terra,Saturno,Júpiter,Netuno,2
Quem escreveu o livro 'Harry Potter'?,J.K. Rowling,J.R.R. Tolkien,George Orwell,Jane Austen,0
Qual o metal principal nas moedas de um euro?,Níquel,Ouro,Cobre,Prata,0
Qual é o maior planeta do sistema solar?,Saturno,Terra,Júpiter,Netuno,2
Qual a capital de Índia?,Madrid,Lisboa,Paris,Berlim,1
Qual a capital de Brasil?,Madrid,Lisboa,Berlim,Paris,1
Quem escreveu o livro 'Harry Potter'?,J.R.R. Tolkien,George Orwell,J.K. Rowling,Jane Austen,2
Qual a capital de Egito?,Lisboa,Berlim,Paris,Madrid,0
Qual o metal principal nas moedas de um euro?,Cobre,Níquel,Prata,Ouro,1
Qual o metal principal nas moedas de um euro?,Cobre,Ouro,Prata,Níquel,3
Quem escreveu o livro 'O Senhor dos Anéis'?,J.R.R. Tolkien,George Orwell,J.K. Rowling,Jane Austen,2
Quem escreveu o livro 'Harry Potter'?,Jane Austen,J.K. Rowling,George Orwell,J.R.R. Tolkien,1
Qual a capital de Itália?,Madrid,Berlim,Lisboa,Paris,2
Qual a capital de Espanha?,Madrid,Berlim,Lisboa,Paris,2
Qual é a língua oficial do Brasil?,Espanhol,Português,Francês,Inglês,1
Qual a capital de Índia?,Berlim,Lisboa,Paris,Madrid,1
Qual é o maior planeta do sistema solar?,Netuno,Júpiter,Terra,Saturno,1
Quem escreveu o livro '1984'?,J.R.R. Tolkien,Jane Austen,J.K. Rowling,George Orwell,2
