question,option1,option2,option3,option4,correct
Qual é a capital da Suíça?,Berna,Zurique,Genebra,Basileia,0
Em que ano foi assinada a Declaração Universal dos Direitos Humanos?,1948,1946,1950,1952,0
Qual é o maior felino do mundo?,Tigre-siberiano,Leão,Jaguar,Leopardo,0
Quem compôs a "Nona Sinfonia"?,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Johann Sebastian Bach,Franz Schubert,0
Qual é o ponto mais baixo da Terra?,Mar Morto,Vale da Morte,Depressão de Qattara,Grande Vale do Rift,0
Em que ano foi inventada a internet?,1969,1971,1973,1975,0
Qual é a capital da Coreia do Sul?,Seul,Busan,Incheon,Daegu,0
Quem escreveu "1984"?,George Orwell,Aldous Huxley,Ray Bradbury,H.G. Wells,0
Qual é o segundo elemento mais abundante no corpo humano?,Carbono,Hidrogénio,Nitrogénio,Cálcio,0
Em que ano foi fundada a UNESCO?,1945,1944,1946,1947,0
Qual é o maior primata do mundo?,Gorila-das-montanhas,Orangotango,Chimpanzé,Gibão,0
Quem inventou a lâmpada elétrica?,Thomas Edison,Nikola Tesla,Alexander Graham Bell,Michael Faraday,0
Qual é a capital da Grécia?,Atenas,Tessalónica,Patras,Heraclião,0
Em que ano foi descoberta a Austrália?,1770,1768,1772,1774,0
Qual é o rio mais longo do mundo?,Nilo,Amazonas,Yangtzé,Mississippi,0
Quem foi o primeiro europeu a chegar à Índia por mar?,Vasco da Gama,Fernão de Magalhães,Bartolomeu Dias,Cristóvão Colombo,0
Qual é a maior ilha do mundo?,Gronelândia,Nova Guiné,Bornéu,Madagascar,0
Em que ano foi inventada a televisão?,1925,1923,1927,1929,0
Qual é o elemento químico mais pesado encontrado naturalmente?,Urânio,Plutónio,Tório,Rádio,0
Quem pintou a "Guernica"?,Pablo Picasso,Salvador Dalí,Joan Miró,Henri Matisse,0
Qual é a capital do México?,Cidade do México,Guadalajara,Monterrey,Puebla,0
Em que ano foi fundada a Cruz Vermelha?,1863,1861,1865,1867,0
Qual é o maior réptil do mundo?,Crocodilo-de-água-salgada,Anaconda-verde,Dragão-de-komodo,Tartaruga-de-couro,0
Quem descobriu a estrutura do DNA?,Watson e Crick,Franklin e Wilkins,Mendel e Morgan,Darwin e Wallace,0
Qual é a moeda oficial da Rússia?,Rublo,Coroa,Franco,Marco,0
Em que ano foi abolida a escravatura no Brasil?,1888,1886,1890,1892,0
Qual é o maior vulcão do sistema solar?,Monte Olimpo,Monte Everest,Mauna Kea,Kilimanjaro,0
Quem escreveu "O Pequeno Príncipe"?,Antoine de Saint-Exupéry,Jules Verne,Victor Hugo,Albert Camus,0
Qual é a capital da Índia?,Nova Deli,Mumbai,Calcutá,Bangalore,0
Em que ano foi inventado o primeiro computador eletrônico?,1946,1944,1948,1950,0
Qual é o maior peixe do mundo?,Tubarão-baleia,Baleia-azul,Espadarte,Marlim-azul,0
Quem foi o primeiro homem no espaço?,Yuri Gagarin,Neil Armstrong,Buzz Aldrin,Alan Shepard,0
Qual é o ponto mais alto da África?,Kilimanjaro,Monte Quénia,Monte Stanley,Ras Dashen,0
Em que ano foi fundada a NASA?,1958,1956,1960,1962,0
Qual é o maior anfíbio do mundo?,Salamandra-gigante-chinesa,Sapo-cururu,Rã-touro,Axolote,0
Quem inventou a vacina?,Edward Jenner,Louis Pasteur,Robert Koch,Alexander Fleming,0
Qual é a capital da Argentina?,Buenos Aires,Córdoba,Rosário,Mendoza,0
Em que ano foi inventado o automóvel?,1885,1883,1887,1889,0
Qual é o maior asteroide do sistema solar?,Ceres,Vesta,Pallas,Hygiea,0
Quem escreveu "Romeu e Julieta"?,William Shakespeare,Christopher Marlowe,Ben Jonson,John Webster,0
Qual é a capital da Holanda?,Amesterdão,Roterdão,Haia,Utrecht,0
Em que ano foi fundado o Banco de Portugal?,1846,1844,1848,1850,0
Qual é o maior carnívoro terrestre?,Urso-polar,Tigre-siberiano,Leão,Urso-pardo,0
Quem descobriu a lei da gravidade?,Isaac Newton,Galileu Galilei,Johannes Kepler,Albert Einstein,0
Qual é o metal mais condutor de eletricidade?,Prata,Cobre,Ouro,Alumínio,0
Em que ano foi inventado o telefone móvel?,1973,1971,1975,1977,0
Qual é o maior satélite natural do sistema solar?,Ganimedes,Titã,Calisto,Io,0
Quem pintou "A Noite Estrelada"?,Vincent van Gogh,Claude Monet,Paul Gauguin,Edgar Degas,0
Qual é a capital da Turquia?,Ancara,Istambul,Esmirna,Bursa,0
Em que ano foi criada a World Wide Web?,1989,1987,1991,1993,0
Qual é o maior cefalópode do mundo?,Lula-gigante,Polvo-gigante-do-pacífico,Nautilus,Sépia-gigante,0
Quem inventou o rádio?,Guglielmo Marconi,Nikola Tesla,Thomas Edison,Alexander Graham Bell,0
Qual é a montanha mais alta da Europa?,Monte Elbrus,Monte Branco,Monte Rosa,Matterhorn,0
Em que ano foi fundada a primeira universidade portuguesa?,1290,1288,1292,1294,0
Qual é o maior aquífero do mundo?,Sistema Aquífero Guarani,Grande Bacia Artesiana,Aquífero Núbio,Aquífero High Plains,0
